Taman Laut Olele,"Taman Laut Olele, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,"Taman laut dengan terumbu karang yang sangat indah, populer untuk diving dan snorkeling.","Taman Laut Olele, Gorontalo, terumbu karang, diving",0
Pulau Pohe,"Pulau Pohe, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,"Pulau kecil dengan keindahan pantai yang alami dan perairan yang sangat jernih, cocok untuk berenang.","Pulau Pohe, Gorontalo, pantai, berenang",0
Pantai Hulonthalo,"Pantai Hulonthalo, Kabupaten Gorontalo",Wisata Bahari,Gorontalo,Gorontalo,Gorontalo,"Pantai yang memiliki pasir putih dan air laut yang tenang, sangat cocok untuk berlibur dengan keluarga.","Pantai Hulonthalo, Gorontalo, keluarga, pantai",0
Pulau Leato,"Pulau Leato, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,Pulau eksotis yang menawarkan keindahan alam bawah laut dan pantai pasir putih yang bersih.,"Pulau Leato, Gorontalo, pantai, alam",0
Pantai Lamu,"Pantai Lamu, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,"Pantai yang memiliki keindahan alam yang luar biasa, ideal untuk menikmati sunset dan melakukan aktivitas laut.","Pantai Lamu, Gorontalo, sunset, laut",0
Pulau Bongo,"Pulau Bongo, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,Pulau yang memiliki pemandangan alam yang sangat indah dan merupakan tempat yang cocok untuk kegiatan snorkeling.,"Pulau Bongo, Gorontalo, snorkeling, laut",0
Pantai Tenilo,"Pantai Tenilo, Kabupaten Gorontalo",Wisata Bahari,Gorontalo,Gorontalo,Gorontalo,"Pantai yang terkenal dengan pasir putih dan air laut yang jernih, cocok untuk berenang dan bersantai.","Pantai Tenilo, Gorontalo, berenang, pantai",0
Pulau Rumbia,"Pulau Rumbia, Kabupaten Gorontalo",Wisata Bahari,Gorontalo,Gorontalo,Gorontalo,"Pulau dengan pesona alam bawah laut yang menakjubkan dan pantai yang sangat indah, tempat yang cocok untuk diving.","Pulau Rumbia, Gorontalo, diving, laut",0
Taman Laut Gorontalo,"Taman Laut Gorontalo, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,Taman laut yang memiliki keanekaragaman hayati laut dan menjadi tujuan favorit bagi para penyelam.,"Taman Laut Gorontalo, Gorontalo, penyelaman, alam laut",0
Pantai Silele,"Pantai Silele, Kabupaten Gorontalo",Wisata Bahari,Gorontalo,Gorontalo,Gorontalo,Pantai yang menawarkan keindahan alam yang tenang dan cocok untuk menikmati keindahan laut.,"Pantai Silele, Gorontalo, alam, laut",0
Pulau Talumelito,"Pulau Talumelito, Kabupaten Gorontalo",Wisata Bahari,Gorontalo,Gorontalo,Gorontalo,"Pulau dengan pemandangan laut yang jernih dan keindahan terumbu karang, ideal untuk snorkeling dan diving.","Pulau Talumelito, Gorontalo, snorkeling, diving",0
Pantai Molas,"Pantai Molas, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,Pantai dengan suasana yang sepi dan cocok untuk menikmati ketenangan serta berenang.,"Pantai Molas, Gorontalo, ketenangan, berenang",0
Pulau Benteng,"Pulau Benteng, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,"Pulau dengan pantai yang eksotis dan kehidupan laut yang kaya, menjadi tempat yang ideal untuk wisata bahari.","Pulau Benteng, Gorontalo, wisata bahari, laut",0
Pantai Tabulo,"Pantai Tabulo, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,"Pantai yang cocok untuk berlibur dengan keluarga, menawarkan pemandangan laut yang luar biasa.","Pantai Tabulo, Gorontalo, keluarga, pantai",0
Taman Laut Pulau Togean,"Taman Laut Pulau Togean, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,"Taman laut yang memiliki keanekaragaman laut dan terumbu karang yang menakjubkan, ideal untuk diving.","Taman Laut Pulau Togean, Gorontalo, terumbu karang, diving",0
Pulau Togean,"Pulau Togean, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,"Pulau dengan keindahan alam bawah laut dan pantai yang menakjubkan, menjadi tempat favorit untuk liburan.","Pulau Togean, Gorontalo, pantai, laut",0
Pantai Marisa,"Pantai Marisa, Kabupaten Gorontalo",Wisata Bahari,Gorontalo,Gorontalo,Gorontalo,Pantai yang menawarkan suasana yang tenang dan cocok untuk bersantai sambil menikmati pemandangan laut.,"Pantai Marisa, Gorontalo, bersantai, laut",0
Pulau Dagho,"Pulau Dagho, Kabupaten Gorontalo",Wisata Bahari,Gorontalo,Gorontalo,Gorontalo,"Pulau dengan pesona laut yang menakjubkan, ideal untuk kegiatan diving dan snorkeling.","Pulau Dagho, Gorontalo, diving, snorkeling",0
Pantai Hiu,"Pantai Hiu, Kabupaten Gorontalo",Wisata Bahari,Gorontalo,Gorontalo,Gorontalo,"Pantai yang indah dengan pasir putih dan air laut yang jernih, cocok untuk berenang dan menikmati matahari terbenam.","Pantai Hiu, Gorontalo, berenang, sunset",0
Pulau Panua,"Pulau Panua, Kabupaten Gorontalo Utara",Wisata Bahari,Gorontalo,Gorontalo Utara,Gorontalo,"Pulau yang memiliki pantai indah dan kehidupan laut yang kaya, tempat yang sangat cocok untuk snorkeling.","Pulau Panua, Gorontalo, snorkeling, pantai",0
Masjid Baiturrahman,"Jl. S. Parman No. 14, Kota Gorontalo",Wisata Religi,Gorontalo,Kota Gorontalo,Gorontalo,Masjid bersejarah dengan arsitektur megah dan menjadi salah satu simbol keagamaan di Gorontalo.,"Masjid Baiturrahman, Gorontalo, sejarah, religi",0
Istana Bongomeme,"Jl. Bongomeme, Kabupaten Gorontalo",Wisata Sejarah,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Istana bersejarah yang merupakan tempat tinggal raja-raja di Gorontalo, kini menjadi situs budaya penting.","Istana Bongomeme, Gorontalo, sejarah, budaya",0
Benteng Otanaha,"Jl. Otanaha, Kota Gorontalo",Wisata Sejarah,Gorontalo,Kota Gorontalo,Gorontalo,Benteng peninggalan Belanda yang berfungsi sebagai benteng pertahanan pada masa penjajahan.,"Benteng Otanaha, Gorontalo, sejarah, benteng",0
Masjid Agung Baitul Khair,"Jl. Alkhair, Kabupaten Gorontalo",Wisata Religi,Gorontalo,Kabupaten Gorontalo,Gorontalo,Masjid dengan desain megah dan menjadi pusat kegiatan keagamaan terbesar di Gorontalo.,"Masjid Agung Baitul Khair, Gorontalo, religi",0
Makam Raja-Raja Gorontalo,"Jl. Raja No. 15, Kota Gorontalo",Wisata Sejarah,Gorontalo,Kota Gorontalo,Gorontalo,"Makam para raja-raja yang pernah memerintah di wilayah Gorontalo, tempat untuk mengenang sejarah kerajaan Gorontalo.","Makam Raja-Raja Gorontalo, Gorontalo, sejarah, kerajaan",0
Taman Nasional Bogani Nani Wartabone,"Kabupaten Bone Bolango, Gorontalo",Wisata Sejarah,Gorontalo,Bone Bolango,Gorontalo,Taman nasional yang kaya akan flora dan fauna serta menjadi situs penting bagi penelitian sejarah alam.,"Taman Nasional Bogani, Gorontalo, alam, sejarah",0
Makam Tuwuo,"Jl. Tuwuo, Kota Gorontalo",Wisata Religi,Gorontalo,Kota Gorontalo,Gorontalo,Makam seorang tokoh agama penting di Gorontalo yang dihormati sebagai penyebar Islam di daerah ini.,"Makam Tuwuo, Gorontalo, religi, sejarah",0
Museum Kota Gorontalo,"Jl. Pahlawan No. 9, Kota Gorontalo",Wisata Sejarah,Gorontalo,Kota Gorontalo,Gorontalo,Museum yang menyimpan berbagai benda bersejarah tentang perkembangan Kota Gorontalo dan budaya lokal.,"Museum Gorontalo, sejarah, budaya",0
Masjid Al-Muhajirin,"Jl. Al-Muhajirin, Kota Gorontalo",Wisata Religi,Gorontalo,Kota Gorontalo,Gorontalo,"Masjid yang menjadi pusat ibadah umat Islam di Gorontalo, terkenal dengan arsitektur khas Gorontalo.","Masjid Al-Muhajirin, Gorontalo, religi",0
Benteng Lawu,"Jl. Lawu, Kabupaten Gorontalo Utara",Wisata Sejarah,Gorontalo,Gorontalo Utara,Gorontalo,Benteng peninggalan kolonial Belanda yang pernah digunakan sebagai pertahanan saat penjajahan.,"Benteng Lawu, Gorontalo, sejarah, benteng",0
Gua Siale,"Desa Siale, Kabupaten Gorontalo",Wisata Sejarah,Gorontalo,Kabupaten Gorontalo,Gorontalo,Gua bersejarah yang dipercaya sebagai tempat tinggal dan perlindungan para leluhur Gorontalo pada zaman dahulu.,"Gua Siale, Gorontalo, sejarah, gua",0
Pura Gorontalo,"Jl. Pura No. 5, Kota Gorontalo",Wisata Religi,Gorontalo,Kota Gorontalo,Gorontalo,"Pura yang menjadi tempat ibadah umat Hindu di Gorontalo, menjadi simbol keberagaman agama di wilayah ini.","Pura Gorontalo, Gorontalo, religi",0
Makam Sultan Botutihe,"Jl. Sultan Botutihe, Kabupaten Gorontalo",Wisata Religi,Gorontalo,Kabupaten Gorontalo,Gorontalo,Makam seorang sultan yang menjadi tokoh penting dalam sejarah kerajaan Gorontalo dan Islam di daerah ini.,"Makam Sultan Botutihe, Gorontalo, religi, sejarah",0
Tugu Perjuangan,"Jl. Tugu, Kota Gorontalo",Wisata Sejarah,Gorontalo,Kota Gorontalo,Gorontalo,Tugu yang didirikan untuk mengenang perjuangan rakyat Gorontalo dalam menghadapi penjajahan.,"Tugu Perjuangan, Gorontalo, sejarah, perjuangan",0
Makam Raja Tombulilato,"Jl. Tombulilato, Kabupaten Gorontalo",Wisata Religi,Gorontalo,Kabupaten Gorontalo,Gorontalo,Makam raja terkenal yang menjadi pemimpin wilayah Gorontalo pada masa lampau dan dihormati oleh masyarakat.,"Makam Raja Tombulilato, Gorontalo, religi, sejarah",0
Taman Sejarah Gorontalo,"Jl. Sejarah, Kota Gorontalo",Wisata Sejarah,Gorontalo,Kota Gorontalo,Gorontalo,Taman yang dibangun untuk mengenang sejarah panjang perkembangan budaya dan peradaban Gorontalo.,"Taman Sejarah Gorontalo, Gorontalo, sejarah, taman",0
Gua Haji Abdul,"Desa Haji Abdul, Kabupaten Gorontalo",Wisata Sejarah,Gorontalo,Kabupaten Gorontalo,Gorontalo,Gua bersejarah yang dipercaya sebagai tempat para pemimpin Gorontalo bersembunyi selama masa penjajahan.,"Gua Haji Abdul, Gorontalo, sejarah, gua",0
Masjid Agung Gorontalo,"Jl. Agung No. 7, Kota Gorontalo",Wisata Religi,Gorontalo,Kota Gorontalo,Gorontalo,"Masjid Agung yang menjadi pusat ibadah utama umat Muslim di Gorontalo, dengan arsitektur yang menawan.","Masjid Agung Gorontalo, Gorontalo, religi",0
Peninggalan Kerajaan Gorontalo,"Jl. Kerajaan No. 6, Kabupaten Gorontalo",Wisata Sejarah,Gorontalo,Kabupaten Gorontalo,Gorontalo,Situs bersejarah yang mengingatkan kita pada kemegahan kerajaan Gorontalo yang pernah berjaya pada masa lalu.,"Peninggalan Kerajaan Gorontalo, Gorontalo, sejarah",0
Gereja Kristen Gorontalo,"Jl. Gereja No. 4, Kota Gorontalo",Wisata Religi,Gorontalo,Kota Gorontalo,Gorontalo,Gereja bersejarah yang menjadi tempat ibadah umat Kristen di Gorontalo dan bagian penting dari warisan budaya Gorontalo.,"Gereja Kristen Gorontalo, Gorontalo, religi",0
Makam Syarif Hidayatullah,"Jl. Syarif Hidayatullah, Kabupaten Gorontalo",Wisata Religi,Gorontalo,Kabupaten Gorontalo,Gorontalo,Makam seorang tokoh agama yang sangat dihormati di Gorontalo karena perannya dalam penyebaran agama Islam.,"Makam Syarif Hidayatullah, Gorontalo, religi, sejarah",0
Tugu Tolak Bala,"Jl. Tolak Bala, Kabupaten Gorontalo",Wisata Sejarah,Gorontalo,Kabupaten Gorontalo,Gorontalo,Tugu yang dibangun untuk mengenang peristiwa bersejarah yang melibatkan masyarakat Gorontalo dalam perjuangan mereka.,"Tugu Tolak Bala, Gorontalo, sejarah",0
Pura Purnama,"Jl. Purnama, Kota Gorontalo",Wisata Religi,Gorontalo,Kota Gorontalo,Gorontalo,"Pura yang digunakan untuk peribadatan umat Hindu di Gorontalo, mencerminkan keragaman agama di wilayah ini.","Pura Purnama, Gorontalo, religi",0
Makam Raja Haji,"Jl. Raja Haji, Kabupaten Gorontalo",Wisata Religi,Gorontalo,Kabupaten Gorontalo,Gorontalo,Makam seorang tokoh sejarah dan raja penting yang dihormati di Gorontalo atas kontribusinya terhadap wilayah ini.,"Makam Raja Haji, Gorontalo, religi, sejarah",0
Museum Negeri Provinsi Gorontalo,"Jl. Alkhair No. 10, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,"Museum yang menyimpan berbagai koleksi bersejarah yang menggambarkan sejarah, budaya, dan alam Gorontalo.","Museum Gorontalo, edukasi, sejarah, budaya",0
Kebun Raya Gorontalo,"Jl. Raya No. 7, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,Kebun raya yang memamerkan berbagai jenis tanaman khas Gorontalo dan memberikan edukasi tentang tumbuhan.,"Kebun Raya Gorontalo, edukasi, alam, tanaman",0
Pusat Penelitian Perikanan,"Jl. Laut No. 4, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,Tempat penelitian tentang perikanan yang memberikan edukasi tentang ekosistem laut dan konservasi sumber daya alam.,"Penelitian Perikanan, edukasi, laut, konservasi",0
Taman Wisata Alam Hulonthalo,"Desa Hulonthalo, Kabupaten Gorontalo",Wisata Edukasi,Gorontalo,Kabupaten Gorontalo,Gorontalo,Tempat wisata yang juga berfungsi sebagai area konservasi alam yang menawarkan pengalaman edukatif tentang lingkungan.,"Taman Wisata Alam, Gorontalo, edukasi, alam",0
Perpustakaan Daerah Gorontalo,"Jl. Pahlawan No. 8, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,"Perpustakaan daerah yang menyediakan berbagai koleksi buku edukasi tentang sejarah, budaya, dan ilmu pengetahuan.","Perpustakaan Gorontalo, edukasi, buku, pengetahuan",0
Taman Pendidikan Al-Qur'an,"Jl. Al-Qur'an No. 12, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,"Taman yang mendidik anak-anak untuk memahami dan menghafal Al-Qur'an, serta memahami nilai-nilai agama.","Taman Pendidikan Al-Qur'an, edukasi, agama, anak-anak",0
Gua Pindul Gorontalo,"Desa Pindul, Kabupaten Gorontalo",Wisata Edukasi,Gorontalo,Kabupaten Gorontalo,Gorontalo,Gua yang menjadi objek wisata sekaligus tempat edukasi tentang geologi dan formasi alam.,"Gua Pindul, edukasi, alam, geologi",0
Kampung Wisata Tenun Gorontalo,"Jl. Tenun No. 5, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,Kampung yang mengajarkan keterampilan menenun dan memberikan pengetahuan tentang tradisi tenun Gorontalo.,"Kampung Tenun, edukasi, kerajinan, budaya",0
Lembaga Pendidikan Sosial Gorontalo,"Jl. Pendidikan Sosial No. 6, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,"Lembaga yang menyediakan program pendidikan sosial untuk anak-anak dan orang dewasa, termasuk kursus keterampilan.","Pendidikan Sosial, edukasi, kursus, keterampilan",0
Kampung Purbakala,"Desa Purbakala, Kabupaten Gorontalo",Wisata Edukasi,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Kampung yang memiliki nilai sejarah dan budaya tinggi, memberikan edukasi tentang kehidupan purba dan budaya lokal.","Kampung Purbakala, edukasi, sejarah, budaya",0
Pusat Pengetahuan Laut Gorontalo,"Jl. Laut No. 5, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,Pusat yang menawarkan berbagai informasi edukatif tentang ekosistem laut dan pentingnya pelestarian laut.,"Pusat Pengetahuan Laut, edukasi, laut, konservasi",0
Sekolah Alam Gorontalo,"Jl. Alam No. 3, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,"Sekolah yang mengajarkan anak-anak tentang pentingnya alam dan lingkungan, dengan pendekatan pembelajaran berbasis alam.","Sekolah Alam, edukasi, anak-anak, alam",0
Pusat Penelitian Pertanian Gorontalo,"Jl. Pertanian No. 11, Kabupaten Gorontalo",Wisata Edukasi,Gorontalo,Kabupaten Gorontalo,Gorontalo,Pusat penelitian yang memberikan informasi tentang pertanian berkelanjutan dan teknik pertanian yang ramah lingkungan.,"Penelitian Pertanian, edukasi, pertanian, lingkungan",0
Taman Kota Gorontalo,"Jl. Kota No. 6, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,Taman kota yang juga berfungsi sebagai sarana edukasi mengenai pentingnya penghijauan dan keberagaman flora di kota.,"Taman Kota, edukasi, lingkungan, flora",0
Kampung Budaya Gorontalo,"Jl. Budaya No. 13, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,"Kampung yang mengajarkan nilai-nilai budaya Gorontalo melalui seni dan kerajinan lokal, sangat mendidik bagi anak-anak dan wisatawan.","Kampung Budaya, edukasi, seni, budaya",0
Laut Gorontalo,"Jl. Laut Raya No. 8, Kabupaten Gorontalo",Wisata Edukasi,Gorontalo,Kabupaten Gorontalo,Gorontalo,Destinasi edukasi yang mengajarkan pentingnya ekosistem laut dan keberlanjutan sumber daya alam di kawasan pesisir.,"Laut Gorontalo, edukasi, laut, ekosistem",0
Taman Rekreasi Gorontalo,"Jl. Rekreasi No. 2, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,"Taman yang memadukan rekreasi dan edukasi, di mana pengunjung dapat belajar tentang alam sambil menikmati suasana yang menyegarkan.","Taman Rekreasi, edukasi, alam, rekreasi",0
Sekolah Kebudayaan Gorontalo,"Jl. Kebudayaan No. 7, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,"Sekolah yang berfokus pada pelajaran seni dan budaya lokal Gorontalo, menawarkan pengalaman edukasi yang menyenangkan bagi anak-anak.","Sekolah Kebudayaan, edukasi, seni, budaya",0
Pusat Studi Alam Gorontalo,"Jl. Alam No. 9, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,"Pusat studi yang mengajarkan tentang pentingnya konservasi alam, ekosistem, dan keanekaragaman hayati.","Pusat Studi Alam, edukasi, alam, konservasi",0
Taman Kota Gorontalo Utara,"Jl. Kota Utara No. 4, Gorontalo Utara",Wisata Edukasi,Gorontalo,Gorontalo Utara,Gorontalo,Taman yang mengedukasi pengunjung tentang pentingnya pelestarian lingkungan hidup dan biodiversitas lokal.,"Taman Kota Utara, edukasi, lingkungan, flora",0
Kebun Binatang Gorontalo,"Jl. Binatang No. 10, Kota Gorontalo",Wisata Edukasi,Gorontalo,Kota Gorontalo,Gorontalo,Kebun binatang yang menyediakan edukasi mengenai berbagai spesies hewan dan pentingnya pelestarian satwa liar.,"Kebun Binatang, edukasi, satwa, pelestarian",0
Museum Negeri Gorontalo,"Jl. Alkhair No. 10, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,Museum yang menyimpan berbagai koleksi bersejarah yang menggambarkan sejarah dan budaya Gorontalo.,"Museum, sejarah, budaya, Gorontalo",0
Taman Budaya Gorontalo,"Jl. Budaya No. 15, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,Taman yang berfungsi sebagai tempat penyelenggaraan berbagai acara budaya dan seni lokal Gorontalo.,"Taman Budaya, seni, budaya, Gorontalo",0
Kampung Tenun Gorontalo,"Jl. Tenun No. 5, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,Kampung yang mengajarkan keterampilan menenun dan melestarikan tenun tradisional Gorontalo.,"Tenun, budaya, kerajinan, Gorontalo",0
Pusat Kerajinan Gorontalo,"Jl. Kerajinan No. 8, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,Pusat kerajinan yang memperkenalkan berbagai produk kerajinan tangan khas Gorontalo kepada pengunjung.,"Kerajinan, budaya, Gorontalo, tangan",0
Masjid Agung Baiturrahim,"Jl. Agung No. 3, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,Masjid bersejarah yang memiliki nilai budaya dan arsitektur khas yang mencerminkan sejarah Islam di Gorontalo.,"Masjid, budaya, agama, Gorontalo",0
Alun-Alun Gorontalo,"Jl. Alun-Alun No. 7, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,Alun-alun yang sering digunakan untuk acara budaya dan seni serta menjadi tempat berkumpul masyarakat Gorontalo.,"Alun-Alun, budaya, seni, Gorontalo",0
Tari Tradisional Gorontalo,"Jl. Seni No. 10, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,Tari tradisional Gorontalo yang mengajarkan nilai-nilai budaya dan menjadi pertunjukan menarik bagi pengunjung.,"Tari, budaya, tradisional, Gorontalo",0
Pasar Sentral Gorontalo,"Jl. Sentral No. 5, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,Pasar yang merupakan pusat perdagangan tradisional dengan berbagai barang lokal yang merepresentasikan budaya Gorontalo.,"Pasar, budaya, tradisional, Gorontalo",0
Perkampungan Adat,"Desa Hulonthalo, Kabupaten Gorontalo",Wisata Budaya,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Perkampungan adat yang menyajikan kehidupan tradisional masyarakat Gorontalo, lengkap dengan rumah adat dan upacara adat.","Perkampungan Adat, budaya, tradisional, Gorontalo",0
Pemandian Air Panas Panua,"Desa Panua, Kabupaten Gorontalo",Wisata Budaya,Gorontalo,Kabupaten Gorontalo,Gorontalo,Pemandian air panas yang juga menjadi bagian dari budaya lokal dengan mitos dan cerita tradisional yang mengelilinginya.,"Pemandian Air Panas, budaya, tradisional, Gorontalo",0
Balaroa Gorontalo,"Jl. Balaroa No. 6, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,"Tempat yang menyimpan sejarah dan tradisi Gorontalo, digunakan sebagai pusat acara budaya dan seni lokal.","Balaroa, budaya, sejarah, Gorontalo",0
Rumah Adat Gorontalo,"Desa Adat, Kabupaten Gorontalo",Wisata Budaya,Gorontalo,Kabupaten Gorontalo,Gorontalo,Rumah adat Gorontalo yang menjadi simbol budaya dan adat istiadat masyarakat Gorontalo yang masih dipertahankan hingga kini.,"Rumah Adat, budaya, tradisional, Gorontalo",0
Gorontalo City Tour,"Jl. Kota No. 2, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,"Tour keliling kota yang mengunjungi tempat-tempat bersejarah dan budaya di Gorontalo, memberikan edukasi tentang sejarah dan budaya daerah ini.","City Tour, sejarah, budaya, Gorontalo",0
Danau Limboto,"Desa Limboto, Kabupaten Gorontalo",Wisata Budaya,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Danau yang tidak hanya menarik wisatawan karena keindahannya, tetapi juga karena kisah sejarah yang melekat di sekitar danau.","Danau Limboto, budaya, sejarah, Gorontalo",0
Pusat Kerajinan Batu,"Jl. Batu No. 9, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,Tempat di mana para pengrajin batu lokal menunjukkan keterampilan dan menciptakan karya seni batu yang berkaitan dengan budaya Gorontalo.,"Kerajinan Batu, budaya, seni, Gorontalo",0
Pesisir Laut Gorontalo,"Jl. Laut No. 7, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,"Pesisir yang kaya dengan budaya masyarakat pesisir dan sejarah maritim Gorontalo, menjadi bagian dari identitas budaya Gorontalo.","Pesisir Laut, budaya, maritim, Gorontalo",0
Festival Seni Gorontalo,"Jl. Festival No. 3, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,"Festival seni yang menampilkan berbagai pertunjukan budaya dan seni tradisional Gorontalo, memperkenalkan budaya kepada masyarakat.","Festival Seni, budaya, seni, Gorontalo",0
Situs Sejarah Dolago,"Desa Dolago, Kabupaten Gorontalo",Wisata Budaya,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Situs sejarah yang memberikan gambaran tentang kehidupan masyarakat Gorontalo di masa lampau, dengan peninggalan-peninggalan bersejarah.","Situs Sejarah, budaya, sejarah, Gorontalo",0
Monumen Nani Wartabone,"Jl. Monumen No. 4, Kota Gorontalo",Wisata Budaya,Gorontalo,Kota Gorontalo,Gorontalo,"Monumen yang memperingati perjuangan Nani Wartabone, tokoh perjuangan kemerdekaan yang sangat dihormati di Gorontalo.","Monumen, sejarah, budaya, Gorontalo",0
Desa Adat Hulonthalo,"Desa Hulonthalo, Kabupaten Gorontalo",Wisata Budaya,Gorontalo,Kabupaten Gorontalo,Gorontalo,Desa yang masih menjaga adat dan tradisi Gorontalo dengan rumah adat dan upacara tradisional yang dapat dipelajari oleh wisatawan.,"Desa Adat, budaya, tradisi, Gorontalo",0
Air Terjun Patung,"Desa Patung, Kabupaten Gorontalo",Wisata Alam,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Air terjun yang dikelilingi oleh hutan tropis, memberikan nuansa alam yang segar dan menenangkan.","Air Terjun, alam, hutan, Gorontalo",0
Taman Wisata Alam Olele,"Desa Olele, Kabupaten Gorontalo",Wisata Alam,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Taman wisata alam yang menawarkan keindahan alam, jalur hiking, dan kesempatan untuk berinteraksi dengan alam sekitar.","Taman Alam, hiking, alam, Gorontalo",0
Bukit Ilangata,"Desa Ilangata, Kabupaten Gorontalo",Wisata Alam,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Bukit dengan panorama indah, tempat yang sempurna untuk menikmati pemandangan alam Gorontalo dari ketinggian.","Bukit, pemandangan, alam, Gorontalo",0
Gua Hulonthalo,"Desa Hulonthalo, Kabupaten Gorontalo",Wisata Alam,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Gua alami yang memiliki formasi batuan unik, cocok untuk eksplorasi dan petualangan alam.","Gua, alam, petualangan, Gorontalo",0
Air Terjun Molosipat,"Desa Molosipat, Kabupaten Gorontalo",Wisata Alam,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Air terjun yang dikelilingi hutan tropis, menawarkan suasana sejuk dan asri, cocok untuk relaksasi.","Air Terjun, alam, hutan, Gorontalo",0
Hutan Lindung Dumbo,"Desa Dumbo, Kabupaten Gorontalo",Wisata Alam,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Hutan lindung yang melindungi berbagai flora dan fauna lokal, menawarkan keindahan alam dan udara segar.","Hutan Lindung, alam, flora, Gorontalo",0
Bukit Pato,"Desa Pato, Kabupaten Gorontalo",Wisata Alam,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Bukit yang menawarkan pemandangan alam Gorontalo yang menakjubkan, cocok untuk trekking dan fotografi alam.","Bukit, alam, pemandangan, Gorontalo",0
Kawasan Wisata Alam Ajan,"Desa Ajan, Kabupaten Gorontalo",Wisata Alam,Gorontalo,Kabupaten Gorontalo,Gorontalo,"Kawasan wisata alam yang terkenal dengan keindahan alamnya, ideal untuk kegiatan camping dan hiking.","Kawasan Alam, hiking, camping, Gorontalo",0
